,loc,v(g),ev(g),iv(G),N,V,L,D,I,E,B,T,lOCode,lOComment,locCodeAndComment,lOBlank,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,Discrimination,Difficulty,Guessing
loc,1.0,0.8958319751094921,0.6262405312566584,0.8447777831612777,0.9023397711624974,0.9164419424606512,-0.29365951380725563,0.5883737646553935,0.6586700798636309,0.5241989974668343,0.9164792025514835,0.5241989757719705,0.9978530929034849,0.6476453031652163,0.7510645214789439,0.6205153695461043,0.7317948808967842,0.9450776351030888,0.9046741377198771,0.8920828017436815,0.8751991865073127,0.0815945637540047,0.3953169548107562,0.3906715572112211
v(g),0.8958319751094921,1.0,0.7148271684690055,0.8499104013829712,0.8622431410971575,0.8627387533281445,-0.3086924847731105,0.7004928863496085,0.4615590660436772,0.5985764552908104,0.862689188221746,0.5985764361070254,0.900096891481885,0.4235416491698956,0.6104441738333234,0.46856703482340917,0.7264218419330405,0.816905933048935,0.8674720123420245,0.848516815774323,0.9919805848211659,0.10690840993915882,0.3094704906963919,0.2945420115689542
ev(g),0.6262405312566584,0.7148271684690055,1.0,0.6588775828493438,0.5135930706707668,0.5329960953978436,-0.25868949968660687,0.36876979747220534,0.31542344716311305,0.22510991310146697,0.5328426023683128,0.22510990291438546,0.6223975703759288,0.3327294107442434,0.49553437078353646,0.31435356584821006,0.5695757368535477,0.6128999090606634,0.5269617832081103,0.4919928074373896,0.7261365292294049,-0.014356411091959858,0.14908251408287967,0.0990732187999994
iv(G),0.8447777831612777,0.8499104013829712,0.6588775828493438,1.0,0.8018588008434367,0.8463670625146557,-0.23197147544758254,0.5888264185512796,0.45695441742971116,0.6425064258288746,0.8463846126297705,0.6425064100895173,0.8373038130600226,0.47048043357762276,0.691544536329058,0.4526576356418649,0.7139616265445314,0.8523840687656068,0.8271199870020023,0.7623890695307657,0.8023420147349412,-0.011081122305058682,0.25158923624444685,0.20583332722859493
N,0.9023397711624974,0.8622431410971575,0.5135930706707668,0.8018588008434367,1.0,0.9907285767153388,-0.29674935368438005,0.7883030676622454,0.6904924591913147,0.7551310775609287,0.9906976442241462,0.7551310589277156,0.9120903092836797,0.47166949689721654,0.5598902339802836,0.5051629811568229,0.728612794522882,0.8838825109977421,0.9973615750277671,0.9954737998677856,0.8281359202569838,0.0962406126078075,0.3807535994414841,0.3682697506270688
V,0.9164419424606512,0.8627387533281445,0.5329960953978436,0.8463670625146557,0.9907285767153388,1.0,-0.25798445106244233,0.7420945360152021,0.6748785790003045,0.7599218680862562,0.9999893476139348,0.7599218497582294,0.9220308900680219,0.48319625672354355,0.6121298912596648,0.4913387674927685,0.7125124756493311,0.9047637120974152,0.9942169008918668,0.9782555360052456,0.8209221930492638,0.07598208205118455,0.35955429511624426,0.34465766677438536
L,-0.29365951380725563,-0.3086924847731105,-0.25868949968660687,-0.23197147544758254,-0.29674935368438005,-0.25798445106244233,1.0,-0.39260195424584765,-0.20809141411387777,-0.12132453090344691,-0.2583269199013376,-0.12132451244879618,-0.30049628726981176,-0.16053435919106201,-0.14527963883500522,-0.27185588823113627,-0.5475354926839998,-0.30878931820955824,-0.29220219954413557,-0.30033411068075866,-0.3196176307402428,0.11328793159070899,-0.047989581763862504,-0.0022773180452856116
D,0.5883737646553935,0.7004928863496085,0.36876979747220534,0.5888264185512796,0.7883030676622454,0.7420945360152021,-0.39260195424584765,1.0,0.2635592701065537,0.8403136461099308,0.7422154804825782,0.8403136362585464,0.6031492046024156,0.2644770596373066,0.28022037906380015,0.3544130721965188,0.7838241773109527,0.5145173175795736,0.7961404124737195,0.7717519244419101,0.6587992009636326,0.17121243766763788,0.3089686789421213,0.27477073416811404
I,0.6586700798636309,0.4615590660436772,0.31542344716311305,0.45695441742971116,0.6904924591913147,0.6748785790003045,-0.20809141411387777,0.2635592701065537,1.0,0.22819433652310026,0.6747841341507916,0.22819431859692382,0.6705327792073105,0.35438114844715773,0.3608595218906223,0.4176015774003409,0.37843469125451645,0.7547829315789344,0.661530191323889,0.7228980597111423,0.465205886060877,-0.06859789547952166,0.22621046259811628,0.2392213397380463
E,0.5241989974668343,0.5985764552908104,0.22510991310146697,0.6425064258288746,0.7551310775609287,0.7599218680862562,-0.12132453090344691,0.8403136461099308,0.22819433652310026,1.0,0.7599958854715291,0.9999999999999754,0.5323396869540715,0.2006006465074377,0.3002952265305591,0.21848389645061536,0.5554533769022797,0.4771871349264512,0.780467376431114,0.7159359133855936,0.5207055138142416,0.13239037093927183,0.2118768695091013,0.19647239863066307
B,0.9164792025514835,0.862689188221746,0.5328426023683128,0.8463846126297705,0.9906976442241462,0.9999893476139348,-0.2583269199013376,0.7422154804825782,0.6747841341507916,0.7599958854715291,1.0,0.7599958671214483,0.9220293020533753,0.48343775361932184,0.6125486995355317,0.4912026340413718,0.7126689411332883,0.90474208318311,0.9942079230198629,0.9781961084904409,0.8208229972686057,0.07617840688916412,0.35952032304408915,0.3446801434067106
T,0.5241989757719705,0.5985764361070254,0.22510990291438546,0.6425064100895173,0.7551310589277156,0.7599218497582294,-0.12132451244879618,0.8403136362585464,0.22819431859692382,0.9999999999999754,0.7599958671214483,1.0,0.5323396651039124,0.2006006355144302,0.30029521227140626,0.21848389126036422,0.5554533592816882,0.4771871120074772,0.780467359067729,0.7159358932386843,0.5207054936577116,0.13239036892292763,0.21187685472031473,0.19647238391053892
lOCode,0.9978530929034849,0.900096891481885,0.6223975703759288,0.8373038130600226,0.9120903092836797,0.9220308900680219,-0.30049628726981176,0.6031492046024156,0.6705327792073105,0.5323396869540715,0.9220293020533753,0.5323396651039124,1.0,0.6280573954619789,0.706212335640392,0.626528539706159,0.7343915512187484,0.9443330686021596,0.9126992570380211,0.9040143585068542,0.8818139190039449,0.08975063512242096,0.40648888469906574,0.3922444893864348
lOComment,0.6476453031652163,0.4235416491698956,0.3327294107442434,0.47048043357762276,0.47166949689721654,0.48319625672354355,-0.16053435919106201,0.2644770596373066,0.35438114844715773,0.2006006465074377,0.48343775361932184,0.2006006355144302,0.6280573954619789,1.0,0.6698731770898457,0.5731731400333978,0.4750744758935217,0.5801970256797132,0.47713703281238456,0.4607476157337444,0.4020112738296192,0.055483571054433856,0.3807584226238033,0.40875538227025404
locCodeAndComment,0.7510645214789439,0.6104441738333234,0.49553437078353646,0.691544536329058,0.5598902339802836,0.6121298912596648,-0.14527963883500522,0.28022037906380015,0.3608595218906223,0.3002952265305591,0.6125486995355317,0.30029521227140626,0.706212335640392,0.6698731770898457,1.0,0.3919980959383617,0.5076096858228997,0.6968658960818356,0.5789870163399357,0.5304216073596787,0.5717055453146028,-0.022704997425788367,0.1757277954742209,0.2691073863890465
lOBlank,0.6205153695461043,0.46856703482340917,0.31435356584821006,0.4526576356418649,0.5051629811568229,0.4913387674927685,-0.27185588823113627,0.3544130721965188,0.4176015774003409,0.21848389645061536,0.4912026340413718,0.21848389126036422,0.626528539706159,0.5731731400333978,0.3919980959383617,1.0,0.566521323317998,0.6070993864633302,0.508173833474423,0.49718997776565726,0.4612819919200893,0.06351611774798152,0.4230679874698417,0.3262623697417063
uniq_Op,0.7317948808967842,0.7264218419330405,0.5695757368535477,0.7139616265445314,0.728612794522882,0.7125124756493311,-0.5475354926839998,0.7838241773109527,0.37843469125451645,0.5554533769022797,0.7126689411332883,0.5554533592816882,0.7343915512187484,0.4750744758935217,0.5076096858228997,0.566521323317998,1.0,0.7281285875617235,0.7449849239101959,0.7013646900343401,0.6960229375979552,0.01870779879284184,0.3051726309840165,0.2645622490381015
uniq_Opnd,0.9450776351030888,0.816905933048935,0.6128999090606634,0.8523840687656068,0.8838825109977421,0.9047637120974152,-0.30878931820955824,0.5145173175795736,0.7547829315789344,0.4771871349264512,0.90474208318311,0.4771871120074772,0.9443330686021596,0.5801970256797132,0.6968658960818356,0.6070993864633302,0.7281285875617235,1.0,0.8851149018438413,0.875215486620469,0.7958857616670258,-0.025654193955297493,0.33371817818600136,0.3201829340242606
total_Op,0.9046741377198771,0.8674720123420245,0.5269617832081103,0.8271199870020023,0.9973615750277671,0.9942169008918668,-0.29220219954413557,0.7961404124737195,0.661530191323889,0.780467376431114,0.9942079230198629,0.780467359067729,0.9126992570380211,0.47713703281238456,0.5789870163399357,0.508173833474423,0.7449849239101959,0.8851149018438413,1.0,0.9859482459849875,0.8275700868815054,0.09308250841386749,0.37389682063017327,0.35986519314163967
total_Opnd,0.8920828017436815,0.848516815774323,0.4919928074373896,0.7623890695307657,0.9954737998677856,0.9782555360052456,-0.30033411068075866,0.7717519244419101,0.7228980597111423,0.7159359133855936,0.9781961084904409,0.7159358932386843,0.9040143585068542,0.4607476157337444,0.5304216073596787,0.49718997776565726,0.7013646900343401,0.875215486620469,0.9859482459849875,1.0,0.8222679139154587,0.09960701422534088,0.38669162148173547,0.3763336707687872
branchCount,0.8751991865073127,0.9919805848211659,0.7261365292294049,0.8023420147349412,0.8281359202569838,0.8209221930492638,-0.3196176307402428,0.6587992009636326,0.465205886060877,0.5207055138142416,0.8208229972686057,0.5207054936577116,0.8818139190039449,0.4020112738296192,0.5717055453146028,0.4612819919200893,0.6960229375979552,0.7958857616670258,0.8275700868815054,0.8222679139154587,1.0,0.11187354001305352,0.3051822072344112,0.2970693238793301
