,age,sex,chest,resting_blood_pressure,serum_cholestoral,fasting_blood_sugar,resting_electrocardiographic_results,maximum_heart_rate_achieved,exercise_induced_angina,oldpeak,slope,number_of_major_vessels,thal,Discrimination,Difficulty,Guessing
age,1.0,-0.3435026932863632,0.045093748145519585,0.23023968556727498,0.5124871610647993,-0.14540771319678975,-0.1505997456722436,-0.38278544961080374,0.18030483310685616,0.09387831871605458,0.5515942492091814,0.03876538469984141,-0.5546597616511008,-0.3100741102306062,-0.04771941975375382,0.26653291901642867
sex,-0.3435026932863632,1.0,0.028005601680560193,-0.3805627300941507,-0.7314738151716427,-0.27247463045653303,-0.22537446792760443,-0.06673171137079636,-0.03042903097250926,0.22234346285960527,0.22537446792760443,0.05015698625755189,0.8058772873379612,0.26552149853896573,-0.20995939438578617,0.23315272652820543
chest,0.045093748145519585,0.028005601680560193,1.0,-0.20787682905848107,0.10083080323651944,-0.1635174850419322,-0.5088846484559872,-0.4178928956985876,0.4090479940519309,-0.1971839740088229,0.047338106833115096,-0.19489887528440333,-0.13275928419174882,0.02845767621919322,0.6394903521732127,-0.3330087018841606
resting_blood_pressure,0.23023968556727498,-0.3805627300941507,-0.20787682905848107,1.0,0.48435351505725627,-0.2242025713468823,0.05312276750498329,0.5381027863201793,0.12414760874063896,-0.28967515828073065,-0.3544737395332523,-0.12080392284222342,-0.2207646982697539,0.06129648825091559,0.23568076729913473,-0.2582067776458086
serum_cholestoral,0.5124871610647993,-0.7314738151716427,0.10083080323651944,0.48435351505725627,1.0,0.09447363730111771,0.22231318660987973,0.20064291047235813,0.10527175360914484,-0.12621495722297518,-0.14373860238752637,-0.04892923890806158,-0.7131561364002983,-0.2098442073662415,0.32053451487852214,-0.07467629468696661
fasting_blood_sugar,-0.14540771319678975,-0.27247463045653303,-0.1635174850419322,-0.2242025713468823,0.09447363730111771,1.0,0.03289758474798845,-0.0490049161469017,-0.28426762180748055,-0.3750373459259732,-0.4605661864718384,0.6589208392396008,-0.14761755701561302,-0.45595029129329684,0.13203224874162417,-0.18150915143058824
resting_electrocardiographic_results,-0.1505997456722436,-0.22537446792760443,-0.5088846484559872,0.05312276750498329,0.22231318660987973,0.03289758474798845,1.0,0.4831673001626366,-0.6172133998483675,-0.14615574310058854,-0.07142857142857145,-0.22254954928463114,-0.32051323208600146,-0.09106862744071134,-0.38752880856635663,0.4591578216473664
maximum_heart_rate_achieved,-0.38278544961080374,-0.06673171137079636,-0.4178928956985876,0.5381027863201793,0.20064291047235813,-0.0490049161469017,0.4831673001626366,1.0,-0.4031855265156577,-0.008667870718578522,-0.5134015957203467,-0.11930376536655357,0.006848568716296304,0.3650087764154217,-0.08393842669309204,0.089349751559858
exercise_induced_angina,0.18030483310685616,-0.03042903097250926,0.4090479940519309,0.12414760874063896,0.10527175360914484,-0.28426762180748055,-0.6172133998483675,-0.4031855265156577,1.0,0.11276161237681602,-0.05143444998736399,-0.3090612688845504,0.05048660428092346,0.002849572689841317,0.26018589547970655,-0.28378446147406955
oldpeak,0.09387831871605458,0.22234346285960527,-0.1971839740088229,-0.28967515828073065,-0.12621495722297518,-0.3750373459259732,-0.14615574310058854,-0.008667870718578522,0.11276161237681602,1.0,0.5219848096602763,-0.10222740052869628,0.25179106306281906,0.3953692862100908,-0.3721149803960567,0.23039993745229706
slope,0.5515942492091814,0.22537446792760443,0.047338106833115096,-0.3544737395332523,-0.14373860238752637,-0.4605661864718384,-0.07142857142857145,-0.5134015957203467,-0.05143444998736399,0.5219848096602763,1.0,-0.19075675652968385,-0.02670943600716677,0.1155119834295194,-0.33962184860223893,0.39410003765373425
number_of_major_vessels,0.03876538469984141,0.05015698625755189,-0.19489887528440333,-0.12080392284222342,-0.04892923890806158,0.6589208392396008,-0.22254954928463114,-0.11930376536655357,-0.3090612688845504,-0.10222740052869628,-0.19075675652968385,1.0,0.22587857191158334,-0.5390681802778128,0.2030735605128704,-0.29235595250964913
thal,-0.5546597616511008,0.8058772873379612,-0.13275928419174882,-0.2207646982697539,-0.7131561364002983,-0.14761755701561302,-0.32051323208600146,0.006848568716296304,0.05048660428092346,0.25179106306281906,-0.02670943600716677,0.22587857191158334,1.0,0.31102281497337,-0.13031947863776272,-0.17876978901868326
Discriminacao,-0.3100741102306062,0.26552149853896573,0.02845767621919322,0.06129648825091559,-0.2098442073662415,-0.45595029129329684,-0.09106862744071134,0.3650087764154217,0.002849572689841317,0.3953692862100908,0.1155119834295194,-0.5390681802778128,0.31102281497337,1.0,-0.2576504947092476,0.12409214495731552
Dificuldade,-0.04771941975375382,-0.20995939438578617,0.6394903521732127,0.23568076729913473,0.32053451487852214,0.13203224874162417,-0.38752880856635663,-0.08393842669309204,0.26018589547970655,-0.3721149803960567,-0.33962184860223893,0.2030735605128704,-0.13031947863776272,-0.2576504947092476,1.0,-0.7902541208745704
Adivinhacao,0.26653291901642867,0.23315272652820543,-0.3330087018841606,-0.2582067776458086,-0.07467629468696661,-0.18150915143058824,0.4591578216473664,0.089349751559858,-0.28378446147406955,0.23039993745229706,0.39410003765373425,-0.29235595250964913,-0.17876978901868326,0.12409214495731552,-0.7902541208745704,1.0
