,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6,attribute_7,attribute_8,attribute_9,attribute_10,attribute_11,attribute_12,attribute_13,attribute_14,attribute_15,attribute_16,attribute_17,attribute_18,attribute_19,attribute_20,attribute_21,attribute_22,attribute_23,attribute_24,attribute_25,attribute_26,attribute_27,attribute_28,attribute_29,attribute_30,attribute_31,attribute_32,attribute_33,attribute_34,attribute_35,attribute_36,attribute_37,attribute_38,attribute_39,attribute_40,attribute_41,attribute_42,attribute_43,attribute_44,attribute_45,attribute_46,attribute_47,attribute_48,attribute_49,attribute_50,attribute_51,attribute_52,attribute_53,attribute_54,attribute_55,attribute_56,attribute_57,attribute_58,attribute_59,attribute_60,Discrimination,Difficulty,Guessing
attribute_1,1.0,0.695286817408463,0.54414329830184,0.4185951335427206,0.32837426245609447,0.2115231416560176,0.24362043752941182,0.3709595311191851,0.37185053918371613,0.318591035680051,0.3319533129288223,0.22629285646274222,0.22347733900836286,0.24943417860346442,0.28390483367813,0.2560426216085258,0.23270967131440415,0.1848782329836287,0.23180499371296487,0.25565109204489583,0.2502862190010932,0.04223543112879518,-0.14658951376804777,-0.26445741306885545,-0.4491020177918378,-0.4136764704234979,-0.5029394304898024,-0.3868406599221947,-0.23145603084980035,-0.08886226847639336,-0.08017380276096597,-0.06349757511398584,0.06637400996550194,0.1604498071893903,0.13441366663295168,0.04007384376820995,0.09893751574180823,0.2663011159258963,0.3242381445335272,0.26739621095598637,0.18679704799021477,0.1991094230149698,0.17071690750727625,0.10365074162938864,0.20303061401772748,0.28934334392260935,0.21582950867848347,0.26953366853921185,0.27085080456845434,0.415360451289339,0.27637084080136687,0.1938531468986705,0.3332476626216261,0.41430568005908486,0.09147764908397786,0.22773940200216836,0.2074495015738512,0.28801422542637684,0.20922904272394563,0.2069030363480544,-0.29222181580530815,-0.04749385403573609,-0.1690725265153307
attribute_2,0.695286817408463,1.0,0.6505792345951474,0.36897691022995477,0.2938656918394655,0.3418896845841264,0.3416702181554198,0.5716776509335124,0.5007601250053181,0.38788391769271735,0.36592253702441674,0.24935612815561936,0.28089092817869554,0.27415177990250356,0.30289381760750284,0.29825000403787627,0.17187682216708064,0.03357443810778036,0.1301913536880213,0.14586940224125122,0.1405278244830144,-0.0672399116181868,-0.22891524365162377,-0.25437487938409975,-0.4726748943317255,-0.4678928858118428,-0.4504791608043384,-0.2695226480696128,-0.13260165046832653,0.041974360980713124,0.07742194511104153,0.01690535523644774,-0.001093533886843971,0.12233995200220973,0.19056747505545737,0.0429682374367077,0.02055749074054781,0.2067214481878192,0.277406551522814,0.22960967073289668,0.303607218264578,0.3918255439124457,0.38664262180031195,0.282576597756725,0.401335758839868,0.460973182670328,0.4380891769574706,0.42424749123288585,0.44092330547561454,0.5223025689334441,0.5253810917522436,0.5333827000416903,0.3894493140885703,0.5039902006806607,0.1848208434248597,0.22221944351144174,0.2421081918827213,0.34155717899420074,0.15735682390342776,0.014143779240038403,-0.39437471010951586,0.1455163199263638,-0.0030868135242838593
attribute_3,0.54414329830184,0.6505792345951474,1.0,0.7052891011114711,0.473730666634645,0.3324166173739571,0.19381223194969582,0.5021161406898343,0.31883512997948044,0.2404120801469409,0.325674996742517,0.3207793018549842,0.34479996198101637,0.36083205125950707,0.3841145839252078,0.3746360195147926,0.3667507407363041,0.33388031572330046,0.3608856658132863,0.27312870006888096,0.19621080420223772,0.12513224669073442,-0.0009709349954101736,-0.09879423172248523,-0.3033507859472291,-0.3966473965274441,-0.40107473206909017,-0.4286150835852727,-0.4211780417386774,-0.29580629042931894,-0.14660539856254934,-0.17162410082994342,-0.14942615662305153,-0.05771066418135626,0.08817496874468517,0.0889764385155465,0.14228235854071433,0.20845076687270622,0.1979521135937839,0.2610532392691417,0.3090731416974856,0.38329711761758645,0.2726048935734574,0.13540096887415196,0.14982774987408728,0.13369442978691437,0.1770096238521816,0.2095558164680721,0.2370888497930951,0.13552299669206358,0.26981085349544404,0.37303938289513,0.34633400418431753,0.3697002959727332,0.11460043649003639,0.2726959313186576,0.37161952465387854,0.37217912773098605,0.3152319076254585,0.12830586250453693,-0.3843019155589909,-0.0224872944871722,-0.16045951968546135
attribute_4,0.4185951335427206,0.36897691022995477,0.7052891011114711,1.0,0.7277587053154932,0.26620078644622897,0.11727871325294811,0.4259610365144261,0.2517083488527609,0.2557798411648415,0.29750496756144196,0.28878150102446887,0.26053248904599596,0.3356658773832758,0.33514545046846617,0.2982926884750724,0.30529993542748896,0.3224497307203232,0.34911758538290816,0.29389871335063733,0.24457098469215316,0.14486015979791683,0.030145096186375828,-0.12598830054731083,-0.268300502163242,-0.3441974928437093,-0.35217924481012886,-0.3394378461960979,-0.42029072714930715,-0.378665970903785,-0.30122247268536445,-0.2921945212178682,-0.1676385399047894,-0.08349657885616378,0.0309944652628469,0.006699528637784852,0.07209807978106436,0.1726325214597824,0.1737570710111677,0.17205011200927017,0.188203945220605,0.2900070741098311,0.2265104473907834,0.03876404863196373,0.06633686407099068,0.013282209791379524,-0.09771498981335593,0.08570310581219139,0.1034612554103396,0.0606862919527782,0.18254892301032016,0.3888238284417826,0.5159498530219772,0.40291206791368606,0.12292973552668064,0.4425614903846473,0.36874909669744577,0.32652066628890597,0.35289464758230005,0.2753020069479245,-0.36297412988785616,-0.0462133776463817,-0.15954879809730158
attribute_5,0.32837426245609447,0.2938656918394655,0.473730666634645,0.7277587053154932,1.0,0.5975731456551094,0.31138592546864846,0.37361855060944393,0.11843245127045436,0.05087920516810297,0.1371204819144891,0.2276932425038092,0.3159769140648535,0.41203399171860694,0.40054290192802794,0.3844212254460844,0.3719862015591022,0.37273800825034764,0.4421020894596153,0.3485601820017262,0.26639007809684456,0.24615989889163212,0.14453752411379753,0.011954164809268765,-0.15449372507061945,-0.2298036106055063,-0.21983717493933716,-0.2675445467797438,-0.34110979631380406,-0.31854132465882695,-0.2219485438547443,-0.19190690865792875,-0.2116126695015212,-0.18034211172808046,-0.08595947348010101,-0.05859909142380606,-0.06316378916704594,0.038343811725073194,0.11152607173940472,0.1104964141150149,0.10999897840776483,0.20174032590981486,0.15622024528845194,-0.022925114200591887,0.014928980406993987,-0.0027942843181220623,-0.07781808272952744,-0.027462824277690374,-0.02243762230808429,0.031048650024379305,0.13962783347168176,0.30222432175689595,0.2992944535406744,0.28614391799401306,0.010302782782685553,0.32132308768978235,0.18917849306471293,0.061314224630398935,0.364670957244688,0.27380048321146633,-0.276517660672816,0.20208567226497168,-0.13122598182658785
attribute_6,0.2115231416560176,0.3418896845841264,0.3324166173739571,0.26620078644622897,0.5975731456551094,1.0,0.8126970521539452,0.6143747621060073,0.40550606594644256,0.22402998458254375,0.24974522948053218,0.28925325864981716,0.4027969640736879,0.41901227978028643,0.3830904358872928,0.3477059758731415,0.24382140513999628,0.15887155635133404,0.13920661341700657,0.06573998096425171,0.025001499190753375,-0.01207940414094431,-0.10708060524770066,-0.09205740513923558,-0.19668603014972827,-0.20981489547287388,-0.12184384566471226,-0.07294017064194311,-0.1269633317936471,-0.08872624830095191,0.16063775339727052,0.12152151853674263,-0.14111545995091168,-0.1227586919475322,-0.026566057480914403,-0.06365422986561763,-0.15111293788159855,-0.04382380976715002,0.02468259773470827,0.010717432144689417,-0.021026016755760338,-0.019547178273530436,-0.0021394083013261374,-0.016788039614714208,0.028855659062434917,0.007340120253563132,0.0038658417868897964,-0.013410611058664102,-0.04288935557990644,0.07120670918245255,0.16177308896224893,0.2879513316171416,0.11056225808401467,0.025335877065757444,-0.10369495308213596,0.16443288720918403,0.08687904706987276,0.011029931674054494,0.15766366532608295,0.1662345601604061,-0.21478476413670772,0.40858491500751726,0.032487587414217804
attribute_7,0.24362043752941182,0.3416702181554198,0.19381223194969582,0.11727871325294811,0.31138592546864846,0.8126970521539452,1.0,0.7004593596185203,0.5302365106944127,0.3723913355033909,0.3209666137016051,0.28755934144485656,0.3507743143713377,0.4085486375716953,0.3956088958224551,0.3330435793631511,0.16824997298886415,0.07960328584326683,0.05348167161267739,-0.00844685309663881,-0.014057038666622059,-0.17353808488886285,-0.2710881719899211,-0.15794769835165878,-0.24486637410559534,-0.23770200542455802,-0.15076246265763266,-0.055957971161347514,-0.09880662905950063,-0.018152251308239997,0.1225502543021399,0.05455605297395895,-0.18507262412013104,-0.15660523919735364,-0.021959650431138487,-0.04825317487110603,-0.10273288807969265,0.011169907166966088,0.06623233033118411,0.05684362172146718,-0.0611883087052566,-0.12183561082604277,-0.07952133833925992,0.008367049054219972,0.03126637763234493,0.005801868381414052,0.04292199865082934,0.08298631577786444,0.10862395967585116,0.1801087538756032,0.1977914768149459,0.20005644714225962,0.04025057160310242,0.04039644520740671,-0.09125177879269766,0.18878639392505517,0.09865216169392207,0.0904009306887755,0.16819502544305653,0.2773695156310377,-0.20037155338973264,0.4175003004432059,0.168846604226922
attribute_8,0.3709595311191851,0.5716776509335124,0.5021161406898343,0.4259610365144261,0.37361855060944393,0.6143747621060073,0.7004593596185203,1.0,0.7327220443403747,0.5485029193877844,0.5763982153360793,0.46490197042383763,0.4050130656570255,0.4681407158614404,0.4612940451800229,0.3971325932666954,0.19947707015852303,0.09611526636401968,0.09919331402632942,0.08905915319434828,0.059755024675067006,-0.13074090138435493,-0.23388772617551576,-0.17589945421338007,-0.32559067878285836,-0.3670524712770096,-0.30258327179365596,-0.1538989394265005,-0.13590921380888324,-0.016296027815946676,0.11178393560545062,-0.027434119858970717,-0.2141256685519788,-0.14152991885296198,-0.05479498296147755,-0.0899284676087799,-0.10305656485211602,0.03235217351421046,0.13752173970685763,0.15875001161249344,0.07121169042103742,0.08733921424632841,0.13351600657757678,0.10798027127287205,0.17249896924788805,0.08786041530057502,0.12123186062336364,0.27825171666314635,0.27134153107229075,0.25424410918563667,0.27930284777898984,0.3944945661248074,0.3496473103291775,0.22511405132639203,0.08366111589155978,0.4492276118392028,0.3668838551401524,0.21201898411693257,0.06164833267715295,0.06385765501551802,-0.2739340040795325,0.2841055091038566,0.131179109547596
attribute_9,0.37185053918371613,0.5007601250053181,0.31883512997948044,0.2517083488527609,0.11843245127045436,0.40550606594644256,0.5302365106944127,0.7327220443403747,1.0,0.8802709343607711,0.7401552301582177,0.47076311469246074,0.31732042280845746,0.2804011193050439,0.2623279965990527,0.21354766695364963,0.06573929580692868,-0.0050603219534195295,0.03381299123211502,0.12614890584203317,0.1306446159613162,-0.12419599209653856,-0.29267022417284605,-0.3244785861356655,-0.3581625318842164,-0.29416398317927184,-0.23486038235546064,-0.055852242780418525,-0.017916417191852187,0.14725458710666517,0.21891169088374898,0.14027549146082263,0.039503923000848824,0.14968145225721483,0.14955029565356473,0.09432391497794416,0.19268627390865992,0.3385204257974298,0.3961228726524093,0.3585334829012485,0.1465636921709712,0.10179645956173995,0.2309327011841547,0.3684192608547177,0.42887287564696347,0.28748993653822924,0.28245808657365645,0.3801689355055056,0.3428509912900732,0.3930332026447208,0.2531762542866516,0.3748264615770185,0.42430685123586587,0.1424170900818225,0.05169634933505678,0.34141489483102494,0.20151613500844928,0.1640053791102558,-0.1065307666673014,0.03838127813287001,-0.2299009558847834,0.09615440581149623,-0.018492304726118375
attribute_10,0.318591035680051,0.38788391769271735,0.2404120801469409,0.2557798411648415,0.05087920516810297,0.22402998458254375,0.3723913355033909,0.5485029193877844,0.8802709343607711,1.0,0.8615320908173587,0.5474258300229531,0.34196280068161816,0.22148398185034138,0.1894506741024616,0.16568001884077307,0.05064091041348107,0.017033466294000404,0.05414955474626573,0.14277870217257058,0.17959555626816687,-0.015805119767286636,-0.18000950790591433,-0.25953677338003295,-0.29564840643078566,-0.23912680449757165,-0.20182864749267174,-0.0919856147144041,-0.10907210951971871,-0.027851803201501924,0.029161028944330453,-0.0006963972060946943,-0.010537068802754668,0.06577180745026777,0.05259441260698782,0.020881686612035294,0.16296831918152183,0.2990536763346348,0.4113860491893204,0.3044108634335587,-0.0143003004399502,-0.001276720573630309,0.17266297967539387,0.2823561358819952,0.302646790764224,0.10204295155859558,0.16579219623386474,0.3992768355987685,0.3671226791063855,0.33462570964018173,0.20953725666269477,0.24382316574656593,0.36642935638709223,0.15708156238413834,0.12767464310972834,0.22826407113425648,0.09816777959831076,0.19863318710473324,-0.04358821974699735,0.07087291729259239,-0.17979946608914824,-0.05045330846322775,-0.12023628066479616
